Date,OLS_Base (Flat),LECM_Base (Flat),2R-ECM_Base (Flat),v2.0_Base (Flat),OLS_+200 bps,LECM_+200 bps,2R-ECM_+200 bps,v2.0_+200 bps,OLS_-100 bps,LECM_-100 bps,2R-ECM_-100 bps,v2.0_-100 bps
2027-01-31,2.290400762899948,2.3358102424450853,2.298858899082697,3.0277562280677817,3.1695107486275282,3.2127875792530562,3.536984299901955,4.85743561894047,1.850845770036158,1.8973215740411,1.7555589679907144,2.2183121487384603
2027-02-28,2.290400762899948,2.3356546916149,2.29885864466506,3.0277562280677817,3.1695107486275282,3.2130640860537705,3.536985764597764,4.85743561894047,1.850845770036158,1.8969499943954649,1.7555578432032213,2.2183121487384603
2027-03-31,2.290400762899948,2.3355306541400336,2.2988584373732683,3.0277562280677817,3.1695107486275282,3.2132845747859946,3.5369866604845774,4.85743561894047,1.850845770036158,1.8966536938170533,1.7555571275269881,2.2183121487384603
2027-04-30,2.290400762899948,2.3354317456664955,2.298858287560026,3.0277562280677817,3.1695107486275282,3.2134603942628113,3.536987174719073,4.85743561894047,1.850845770036158,1.8964174213683378,1.7555567002099055,2.2183121487384603
2027-05-31,2.290400762899948,2.3353528752594013,2.2988581878333667,3.0277562280677817,3.1695107486275282,3.213600594118451,3.5369874497597324,4.85743561894047,1.850845770036158,1.8962290158298767,1.7555564611537706,2.2183121487384603
2027-06-30,2.290400762899948,2.335289983366597,2.298858125762793,3.0277562280677817,3.1695107486275282,3.2137123906035576,3.5369875840712095,4.85743561894047,1.850845770036158,1.896078779748117,1.755556337248748,2.2183121487384603
2027-07-31,2.290400762899948,2.3352398328687585,2.2988580894948427,3.0277562280677817,3.1695107486275282,3.213801538014054,3.5369876409305463,4.85743561894047,1.850845770036158,1.8959589802961108,1.7555562794402275,2.2183121487384603
2027-08-31,2.290400762899948,2.3351998424610714,2.2988580696900613,3.0277562280677817,3.1695107486275282,3.213872624871486,3.5369876584784525,4.85743561894047,1.850845770036158,1.8958634512558639,1.7555562569839425,2.2183121487384603
2027-09-30,2.290400762899948,2.3351679537904517,2.298858059741262,3.0277562280677817,3.1695107486275282,3.2139293100995983,3.536987658271669,4.85743561894047,1.850845770036158,1.8957872756358782,1.755556251791477,2.2183121487384603
2027-10-31,2.290400762899948,2.335142525509704,2.2988580553222104,3.0277562280677817,3.1695107486275282,3.213974511353419,3.5369876516264225,4.85743561894047,1.850845770036158,1.895726532587846,1.7555562539075782,2.2183121487384603
2027-11-30,2.290400762899948,2.3351222487954595,2.2988580537796937,3.0277562280677817,3.1695107486275282,3.214010555194381,3.5369876439231467,4.85743561894047,1.850845770036158,1.8956780955959984,1.7555562582793434,2.2183121487384603
2027-12-31,2.290400762899948,2.335106079981507,2.2988580535865712,3.0277562280677817,3.1695107486275282,3.2140392968411606,3.5369876373307547,4.85743561894047,1.850845770036158,1.8956394715516796,1.7555562626246424,2.2183121487384603
